Timestamp,Well 1 State,Well Level,Tank 1 Level,Booster A State,Booster B State,Tank 2 Level 1,Tank 2 Level 2,
12/07/2023 17:33:01,Running,60.2,-0.74,Not Running,Not Running,-0.28,-0.46,
12/07/2023 17:33:02,Running,82.5,1.52,Not Running,Not Running,-0.56,-0.92,
12/07/2023 17:33:04,Running,82.5,3.78,Not Running,Not Running,-0.84,-1.38,
12/07/2023 17:33:05,Running,82.5,6.04,Running,Running,-1.12,-1.84,
12/07/2023 17:33:06,Running,82.5, 5.8,Running,Running,-0.4,-0.8,
12/07/2023 17:33:07,Running,82.5,5.56,Running,Running,0.32,0.24,
12/07/2023 17:33:08,Running,82.5,5.32,Running,Running,1.04,1.28,
12/07/2023 17:33:09,Running,82.5,5.08,Running,Not Running,1.76,2.32,
12/07/2023 17:33:10,Running,82.5,6.34,Running,Running,2.48,1.86,
12/07/2023 17:33:11,Running,82.5, 6.1,Running,Running, 3.2, 2.9,
12/07/2023 17:33:12,Running,82.5,5.86,Running,Running,3.92,3.94,
12/07/2023 17:33:13,Running,82.5,5.62,Running,Running,4.64,4.98,
12/07/2023 17:33:14,Running,82.5,5.38,Running,Running,5.36,6.02,
12/07/2023 17:33:15,Running,82.5,5.14,Running,Not Running,6.08,7.06,
12/07/2023 17:33:16,Running,82.5, 6.4,Running,Not Running, 6.8, 6.6,
12/07/2023 17:33:17,Running,82.5,7.66,Running,Not Running,7.52,6.14,
12/07/2023 17:33:18,Running,82.5,8.92,Running,Not Running,8.24,5.68,
12/07/2023 17:33:19,Running,82.5,10.18,Running,Not Running,8.96,5.22,
12/07/2023 17:33:20,Running,82.5,11.44,Running,Not Running,9.68,4.76,
12/07/2023 17:33:21,Running,82.5,12.7,Running,Not Running,10.4, 4.3,
12/07/2023 17:33:22,Running,82.5,13.96,Running,Not Running,11.12,3.84,
12/07/2023 17:33:23,Running,82.5,15.22,Running,Running,11.84,3.38,
12/07/2023 17:33:24,Running,82.5,14.98,Running,Running,12.56,4.42,
12/07/2023 17:33:25,Running,82.5,14.74,Running,Running,13.28,5.46,
12/07/2023 17:33:26,Running,82.5,14.5,Running,Running,  14, 6.5,
12/07/2023 17:33:27,Running,82.5,14.26,Running,Running,14.72,7.54,
12/07/2023 17:33:28,Running,82.5,14.02,Running,Running,15.44,8.58,
12/07/2023 17:33:29,Running,82.5,13.78,Running,Running,16.16,9.62,
12/07/2023 17:33:30,Running,82.5,13.54,Running,Running,16.88,10.66,
12/07/2023 17:33:31,Running,82.5,13.3,Running,Running,17.6,11.7,
12/07/2023 17:33:32,Running,82.5,13.06,Running,Running,18.32,12.74,
12/07/2023 17:33:33,Running,82.5,12.82,Running,Running,19.04,13.78,
